source,edge,target,sentence,edge-comments,label
Penn and Teller,began to curl and break waves of,vaccination,Penn and Teller began to curl and break waves of vaccination,with greater social size,neg
measles,one sick visitor started,Disneyland measles outbreak,measles one sick visitor started Disneyland measles outbreak,,pos
religious groups,few oppose,vaccines,religious groups few oppose vaccines,,pos
Surgeon General Vivek Murthy,is,marketing vaccines to children,Surgeon General Vivek Murthy is marketing vaccines to children,,neg
7-11 year olds,whooping cough is shifting to from,adolescents,7-11 year olds whooping cough is shifting to from adolescents,,neu
parents with vaccine-injured children,lie to,friends and family,parents with vaccine-injured children lie to friends and family,,neu
lobbying,manipulates,public health officials,lobbying manipulates public health officials,,neg
findings,highlight the need to similar,research,findings highlight the need to similar research,,neu
mainstream media,will not expose,criminal conspiracy,mainstream media will not expose criminal conspiracy,,neg
state vaccination rates,only tell,part of the story,state vaccination rates only tell part of the story,,pos
mandatory vaccines,possibility that they may be required to qualify for,health insurance,mandatory vaccines possibility that they may be required to qualify for health insurance,,neg
vaccination schedule,is important to follow to protect young,children,vaccination schedule is important to follow to protect young children,,pos
Prevnar,added to childhood,vaccination,Prevnar added to childhood vaccination,,neg
ethylmercury,review disclosed hitherto-unrecognized levels in,vaccines,ethylmercury review disclosed hitherto-unrecognized levels in vaccines,,neg
Catholic parents,some question,hepatitis A vaccine,Catholic parents some question hepatitis A vaccine,,pos
anti-vaccination,voices boosted by celebrities like,Jenny McCarthy,anti-vaccination voices boosted by celebrities like Jenny McCarthy,,neu
phthalates,may be significant contributing factor to,autism,phthalates may be significant contributing factor to autism,,neg
vaccination,reduced cases by 80%,pertussis,vaccination reduced cases by 80% pertussis,"since the pre-vaccine era, Dr. Anna Acosta said",neu
Faith Tabernacle,believe in,faith healing,Faith Tabernacle believe in faith healing,over medical care,pos
vaccine-related adverse outcomes,include,deaths,vaccine-related adverse outcomes include deaths,,neg
vaccine industry,continually spends big money on trying to make sure there are more,mandatory vaccines,vaccine industry continually spends big money on trying to make sure there are more mandatory vaccines,,neg
widespread fear,would sell more,vaccines,widespread fear would sell more vaccines,,neg
parents of vaccine-injured children,once trusted,vaccine efficacy,parents of vaccine-injured children once trusted vaccine efficacy,,neg
measles,number predicted two to three years later non-measles,infectious disease mortality,measles number predicted two to three years later non-measles infectious disease mortality,,pos
death from congenital disease,more likely than,measles mortality,death from congenital disease more likely than measles mortality,before measles vaccine,neg
World Health Organization,announced,promising news,World Health Organization announced promising news,,pos
genetic predisposition,to adverse MMR reaction is a ,myth,genetic predisposition to adverse MMR reaction is a  myth,says Dr. Mark Schleiss,pos
Senator Pan,made changes that should improve bill's chances in,Assembly,Senator Pan made changes that should improve bill's chances in Assembly,Pitney,pos
mercury,U.S. government tells us is GOOD in,vaccines,mercury U.S. government tells us is GOOD in vaccines,U.S. government tells us,neg
whistleblower,worked with,Rep. Bill Posey,whistleblower worked with Rep. Bill Posey,,neg
measles,can be deadly with,malnourishment,measles can be deadly with malnourishment,,neg
health officials,must work to help protect entire,community,health officials must work to help protect entire community,,pos
vaccines,sometimes the imitation infection can cause,minor symptoms,vaccines sometimes the imitation infection can cause minor symptoms,,pos
risky flu vaccine,being forced on,sick children,risky flu vaccine being forced on sick children,,neg
vaccine industry,characterizes as dangerous,intelligent questions,vaccine industry characterizes as dangerous intelligent questions,,neg
Focus for Health,"is dedicated to advocacy, education, investigation and research that explores epidemic of",autism,"Focus for Health is dedicated to advocacy, education, investigation and research that explores epidemic of autism",,neu
parents,hesitant can be nudged to use,measles vaccine,parents hesitant can be nudged to use measles vaccine,,pos
polio vaccine opposition,comes from,conspiracy,polio vaccine opposition comes from conspiracy,,pos
young adults,are at increased risk for ,meningococcal disease,young adults are at increased risk for  meningococcal disease,,pos
pharma-controlled press,pretend no,vaccine-damaged children,pharma-controlled press pretend no vaccine-damaged children,,neg
measles resurgence,health officials blame in part on,parents who choose to delay vaccination,measles resurgence health officials blame in part on parents who choose to delay vaccination,,pos
hepatitis A vaccine,are cultured cells originally derived from,aborted fetuses,hepatitis A vaccine are cultured cells originally derived from aborted fetuses,,pos
measles,320 cases linked to,Netherlands Reformed Congregation,measles 320 cases linked to Netherlands Reformed Congregation,,pos
vaccination,promotes healthy,community,vaccination promotes healthy community,,pos
vaccination issue,if you question,vaccine efficacy,vaccination issue if you question vaccine efficacy,,neg
SB 277,won overwhelming approval in,California Senate,SB 277 won overwhelming approval in California Senate,,pos
measles cases,rate dropped to 26.1 during,Spanish American War,measles cases rate dropped to 26.1 during Spanish American War,to World War I--derived from statistic 26.1 to 23.8,neg
meningococcal outbreak,can occur in,prisons,meningococcal outbreak can occur in prisons,,pos
evidence,may not prove the flu shot is,effective,evidence may not prove the flu shot is effective,,neg
immune system,has to start over after infection with,measles,immune system has to start over after infection with measles,,pos
pertussis in infants,face notably,high-risk,pertussis in infants face notably high-risk,,neu
vaccine court,must be abolished like,Apartheid,vaccine court must be abolished like Apartheid,,neg
parents,many are hung up on fact that vaccine is for,sexually transmitted virus,parents many are hung up on fact that vaccine is for sexually transmitted virus,,pos
Sharyl Attkisson,first reported on this,revelation,Sharyl Attkisson first reported on this revelation,,neg
children with autism,excessively run into,traffic,children with autism excessively run into traffic,,neg
stand up and fight,to protect and expand,informed consent,stand up and fight to protect and expand informed consent,,neg
side effects,common include,nausea,side effects common include nausea,,pos
sanctions,for making independent,vaccine choices,sanctions for making independent vaccine choices,,neg
proof,there is enough to ban any level of,mercury,proof there is enough to ban any level of mercury,,neg
anti-vaccination,has serious,consequences,anti-vaccination has serious consequences,,pos
CDC and Big Pharma,has between them outright,lies,CDC and Big Pharma has between them outright lies,,neg
fence-sitters,could be prodded toward getting,vaccines,fence-sitters could be prodded toward getting vaccines,,pos
parents,more likely to go through with it when informing them their child would receive vaccine at their next,scheduled appointment,parents more likely to go through with it when informing them their child would receive vaccine at their next scheduled appointment,than if they were merely asked which vaccines they wanted their child to receive,pos
United States,has seen improvement since 1960s in,health care,United States has seen improvement since 1960s in health care,,pos
government,have admitted to,wrong doing,government have admitted to wrong doing,,neg
politicians,spend your tax dollars on top secretive,biological and military programs,politicians spend your tax dollars on top secretive biological and military programs,,neg
MTHFR C677T defect,means people are unable to remove from their body,toxins,MTHFR C677T defect means people are unable to remove from their body toxins,letter from concerned citizen,neg
gelatin,derived from,collagen,gelatin derived from collagen,,neg
HPV vaccine,cannot help clear current,HPV infection,HPV vaccine cannot help clear current HPV infection,stressed Daniel C. Bleacher,pos
anti-vaccination,some are for,the sake of being anti-vaccine,anti-vaccination some are for the sake of being anti-vaccine,,neu
vaccine-related adverse outcomes,include,seizures,vaccine-related adverse outcomes include seizures,,neg
vaccination,great strides in drastically reducing,infant mortality,vaccination great strides in drastically reducing infant mortality,"says Donna Leusner, spokesperson for NJ Department of Public Health",pos
acellular pertussis vaccine,used artifically created components of,bacteria,acellular pertussis vaccine used artifically created components of bacteria,,neu
adverse effects,experienced after flu shot vaccines include,syncope,adverse effects experienced after flu shot vaccines include syncope,losing consciousness,neg
MMR,only one studied in association with,autism,MMR only one studied in association with autism,,neg
adverse effects,experienced after flu shot vaccines include,dizziness,adverse effects experienced after flu shot vaccines include dizziness,,neg
7-11 year olds,reporting largest cases of,pertussis,7-11 year olds reporting largest cases of pertussis,,neu
MTHFR C677T defect,is like having 30 year old car that has rarely had oil changed,car,MTHFR C677T defect is like having 30 year old car that has rarely had oil changed car,,neg
state,government to incarcerate in prison,parents,state government to incarcerate in prison parents,vaccine industry wants,neg
anti-vaccination website,has someone looking to make a buck selling,electrostimulation,anti-vaccination website has someone looking to make a buck selling electrostimulation,says Dr. Mark Schleiss,pos
post,descriptions of,harassment,post descriptions of harassment,,neg
Tanzania,has 99 percent,measles vaccination,Tanzania has 99 percent measles vaccination,,pos
amendment,proposed by,committee members,amendment proposed by committee members,,neu
Washington Post,is quack science section outlet of U.S.,mainstream media,Washington Post is quack science section outlet of U.S. mainstream media,,neg
genetically susceptible adults,subgroup who cannot eliminate,toxins,genetically susceptible adults subgroup who cannot eliminate toxins,,neg
human DNA,is from,aborted baby,human DNA is from aborted baby,,neg
profitable drugs,instructed to push at,higher doses,profitable drugs instructed to push at higher doses,to maximize profits,neg
Mississippi,limits vaccine exemptions for,MMR vaccine,Mississippi limits vaccine exemptions for MMR vaccine,,pos
End Time Ministries,believe in,faith healing,End Time Ministries believe in faith healing,over medical care,pos
measles outbreak,began in,California,measles outbreak began in California,,pos
monosodium glutamate,toxic when injected to,human biology,monosodium glutamate toxic when injected to human biology,,neg
childhood mortality,reduction is even larger in most impoverished,populations,childhood mortality reduction is even larger in most impoverished populations,from measles vaccine,pos
HPV vaccine,provides,partial protection,HPV vaccine provides partial protection,,pos
CDC website,scrubbed,information,CDC website scrubbed information,,neg
Robert F. Kennedy Jr.,claims to be,pro-vaccination,Robert F. Kennedy Jr. claims to be pro-vaccination,,neg
MMR vaccine,researchers were unable to find any association with,autism,MMR vaccine researchers were unable to find any association with autism,,pos
CDC,statement about thimerosal removal was outright,lies,CDC statement about thimerosal removal was outright lies,,neg
simultaneous vaccinations,kill,infants,simultaneous vaccinations kill infants,,neg
vaccine-related adverse outcomes,include,seizures,vaccine-related adverse outcomes include seizures,,neg
Barry Segal,created,Focus for Health,Barry Segal created Focus for Health,,neu
people,should be treated like,human beings,people should be treated like human beings,,neg
mercury,has no evidence of,safety,mercury has no evidence of safety,at any dose,neg
discrimination,could come soon when it comes to,education,discrimination could come soon when it comes to education,,neg
Amish,largely refuse,to vaccinate children,Amish largely refuse to vaccinate children,,neg
parents,more than 100 protested,SB 277,parents more than 100 protested SB 277,,neu
children,have suffered,injury,children have suffered injury,,neg
kindergarteners,"more than 13,500 have",immunization waivers,"kindergarteners more than 13,500 have immunization waivers",because of parents' personal beliefs,neu
vaccines,has ,additive,vaccines has  additive,,neg
women,just a third have received,three-dose course,women just a third have received three-dose course,,pos
vaccine injuries,Surgeon General Vivek Murthy is rubbing salt in the wounds of,vaccine-injured families,vaccine injuries Surgeon General Vivek Murthy is rubbing salt in the wounds of vaccine-injured families,,neg
vaccine industry,instead of making vaccines safer engages in,scientific fraud,vaccine industry instead of making vaccines safer engages in scientific fraud,,neg
Baker College nursing school instructors,instructed Nichole Rolfe and classmates to,push vaccines on sick children,Baker College nursing school instructors instructed Nichole Rolfe and classmates to push vaccines on sick children,,neg
HPV vaccine,has,health benefits,HPV vaccine has health benefits,,pos
vaccines,destroy,immunity,vaccines destroy immunity,,neg
toxic chemical ingredients,variety are added into,food supply,toxic chemical ingredients variety are added into food supply,,neg
vaccines,spread,disease,vaccines spread disease,,neg
informed consent,those of us trying to exercise our right are facing,prejudice,informed consent those of us trying to exercise our right are facing prejudice,to medical risk-taking,neg
Dr. Paul Offit,says we need an improved,pertussis vaccine,Dr. Paul Offit says we need an improved pertussis vaccine,,neu
Dr. Paul Offit,is a listed inventor on cluster of patents that protect,Merck's RotaTeq vaccine,Dr. Paul Offit is a listed inventor on cluster of patents that protect Merck's RotaTeq vaccine,,neg
parents who refuse to vaccinate their children,are being driven away by,government policy,parents who refuse to vaccinate their children are being driven away by government policy,,pos
children,more than twice as many as 1970s with,immune system dysfunction,children more than twice as many as 1970s with immune system dysfunction,,neg
mainstream media,answer to genetic vulnerability is,denial,mainstream media answer to genetic vulnerability is denial,,neg
larger campaign,in future may end up dictating whether you will be allowed,job,larger campaign in future may end up dictating whether you will be allowed job,,neg
Vaccine Injury Compensation Program,awarded millions of dollars under the name of,pain and suffering,Vaccine Injury Compensation Program awarded millions of dollars under the name of pain and suffering,,neg
vaccines,are being forced on,sick children,vaccines are being forced on sick children,,neg
GlaxoSmithKline,voluntarily initiated,flu vaccine recall,GlaxoSmithKline voluntarily initiated flu vaccine recall,,pos
CDC,selectively omitting data from,clinical trials,CDC selectively omitting data from clinical trials,,neg
Institute of Medicine,examined large body of epidemiological evidence and confirmed in 2004 that,MMR vaccine does not cause autism,Institute of Medicine examined large body of epidemiological evidence and confirmed in 2004 that MMR vaccine does not cause autism,MMR,pos
mandatory vaccines,without allowing for any conscionable objections or informed consent is blatant,violation of Hippocratic Oath,mandatory vaccines without allowing for any conscionable objections or informed consent is blatant violation of Hippocratic Oath,,neg
compensation claims,have become increasingly,litigious,compensation claims have become increasingly litigious,,neg
genetically susceptible children,cannot eliminate harmful,toxins,genetically susceptible children cannot eliminate harmful toxins,,neg
Jain study,did not have surprising,results,Jain study did not have surprising results,for those who have followed the science,pos
SB 277,removes vaccine exemptions in,California,SB 277 removes vaccine exemptions in California,,neu
unvaccinated clusters,fuel large outbreaks of,vaccine-preventable diseases,unvaccinated clusters fuel large outbreaks of vaccine-preventable diseases,,pos
pandemic H1N1 swine flu vaccine,federal oversight committee found possible link to,Bell's Palsy,pandemic H1N1 swine flu vaccine federal oversight committee found possible link to Bell's Palsy,,neg
vaccination,is best way to protect by age 2 from serious,childhood disease,vaccination is best way to protect by age 2 from serious childhood disease,14 serious childhood diseases,pos
pertussis,can cause,vomiting,pertussis can cause vomiting,,neu
unvaccinated children,people become clustered,church,unvaccinated children people become clustered church,,pos
vaccination schedule,to state that it is a-okay is downright ignorant and,illogical,vaccination schedule to state that it is a-okay is downright ignorant and illogical,,neg
African women,were being given vaccines secretly laced with,abortion chemicals,African women were being given vaccines secretly laced with abortion chemicals,,neg
William Moss,has studied for more than a decade,measles vaccine,William Moss has studied for more than a decade measles vaccine,,pos
community,between 83% and 94% must be,vaccinated,community between 83% and 94% must be vaccinated,,pos
personal belief exemption,not permitted,SB 277,personal belief exemption not permitted SB 277,,pos
people,have long been trying to get,vaccination exemption,people have long been trying to get vaccination exemption,,pos
SB 277,refuses to require vaccine industry to clean up,vaccines,SB 277 refuses to require vaccine industry to clean up vaccines,,neg
young adults,at increased risk for,meningococcal disease,young adults at increased risk for meningococcal disease,,pos
schools,"615 of 5,775 had fewer than 94%",vaccinated students,"schools 615 of 5,775 had fewer than 94% vaccinated students",,pos
sanctions,by,doctors,sanctions by doctors,,neg
behavior changes,after,vaccination,behavior changes after vaccination,,neg
rubella,doesn't cause,severe symptoms,rubella doesn't cause severe symptoms,in vast majority,pos
religions with absolute objection,include,Faith Assembly,religions with absolute objection include Faith Assembly,,pos
thimerosal,pads pockets of,vaccine industry,thimerosal pads pockets of vaccine industry,addition to single dose vaccines,neg
Alysia Osoff,allegedly told to push vaccines on sick children,Nichole Rolfe,Alysia Osoff allegedly told to push vaccines on sick children Nichole Rolfe,,neg
Tdap vaccine,encouraged before meeting,infants,Tdap vaccine encouraged before meeting infants,,pos
vaccinated children,are somewhat less likely to be diagnosed with autism than unvaccinated children indicated findings of,Jain study,vaccinated children are somewhat less likely to be diagnosed with autism than unvaccinated children indicated findings of Jain study,,pos
vaccine court,is granted extraordinary powers to operate utterly outside the,rules of due process and law,vaccine court is granted extraordinary powers to operate utterly outside the rules of due process and law,,neg
pharmaceutical companies,exaggerate,benefits of drug,pharmaceutical companies exaggerate benefits of drug,According to ABC News Story (2010),neg
Americans,exposed to SV40 could have developed,cancer,Americans exposed to SV40 could have developed cancer,,neg
health officials,only thing can do is educate about,personal belief exemption,health officials only thing can do is educate about personal belief exemption,"Lisa Bakshi, mother from Placer Count",pos
parents,walking into the,labor and delivery floor,parents walking into the labor and delivery floor,,neg
Hilary Clinton,took a firmer stance than she had in previous years by supporting,vaccination,Hilary Clinton took a firmer stance than she had in previous years by supporting vaccination,,pos
parents with vaccine-injured children,lie about,vaccine-injured children,parents with vaccine-injured children lie about vaccine-injured children,,neu
newborns,really do not need,hepatitis B vaccine,newborns really do not need hepatitis B vaccine,,neg
parents,taught to coerce into,vaccinating children,parents taught to coerce into vaccinating children,,neg
vaccine-injured children,have paid,ultimate price,vaccine-injured children have paid ultimate price,,neg
vaccine-autism link,studies examine just one type of,vaccines,vaccine-autism link studies examine just one type of vaccines,,neg
vaccines,caused,autism,vaccines caused autism,,neg
Dwoskin Family Foundation,has funded efforts focused on finding in children and older adults the causes of,inflammatory disorders,Dwoskin Family Foundation has funded efforts focused on finding in children and older adults the causes of inflammatory disorders,,neu
Alysia Osoff,is specifically named in,Nichole Rolfe lawsuit,Alysia Osoff is specifically named in Nichole Rolfe lawsuit,,neg
vaccine-free day care centres,is irresponsible said,Jill Hennessy,vaccine-free day care centres is irresponsible said Jill Hennessy,,pos
protective effect of vaccines,may be explained by parents of autistic children,withholding vaccines,protective effect of vaccines may be explained by parents of autistic children withholding vaccines,,pos
CDC,openly confessed to,scientific fraud,CDC openly confessed to scientific fraud,,neg
injecting mercury,into a human being at any dose should be globally condemed as a,criminal,injecting mercury into a human being at any dose should be globally condemed as a criminal,,neg
you,"if question the vaccination issue, you will be told to",shut your mouth and comply,"you if question the vaccination issue, you will be told to shut your mouth and comply",by CDC,neg
parents,are encouraged to talk to child's,doctors,parents are encouraged to talk to child's doctors,to ensure that their baby is up-to-date on immunizations,pos
trace amounts of thimerosal,how many have caused an issue due to increased,number of vaccines,trace amounts of thimerosal how many have caused an issue due to increased number of vaccines,,neg
Dr. Paul Offit,is director of,Vaccine Education Center,Dr. Paul Offit is director of Vaccine Education Center,,pos
vaccinated children,autism does not differ compared to,unvaccinated children,vaccinated children autism does not differ compared to unvaccinated children,,pos
people,are expected to just line right up and get,poison picked,people are expected to just line right up and get poison picked,in herd mentality,neg
Dr. Mark Schleiss,is pediatric infectious disease,physicians,Dr. Mark Schleiss is pediatric infectious disease physicians,,pos
children,can be injected with wrong,vaccines,children can be injected with wrong vaccines,,neg
mainstream media,pushing on,toxic vaccines,mainstream media pushing on toxic vaccines,,neg
autism rise,CDC claims due to,genetic predisposition,autism rise CDC claims due to genetic predisposition,,neg
vaccine industry,is committing a,holocaust,vaccine industry is committing a holocaust,,neg
vaccine industry,continually spends big money on trying to make sure there are more,mandatory vaccines,vaccine industry continually spends big money on trying to make sure there are more mandatory vaccines,,neg
CDC,committed,scientific fraud,CDC committed scientific fraud,,neg
states,search for,new strategies,states search for new strategies,if,pos
campaign of fear mongering,has caused fear of,anti-vaccination,campaign of fear mongering has caused fear of anti-vaccination,,neg
autism risk,did not increase even in,children with autistic sibling,autism risk did not increase even in children with autistic sibling,,pos
women,protected from,high-risk types of HPV,women protected from high-risk types of HPV,young women,pos
diarrhea deaths,cut in half after,measles vaccine,diarrhea deaths cut in half after measles vaccine,,pos
vaccinated children,were the majority affected by the,outbreak,vaccinated children were the majority affected by the outbreak,,neg
vaccination,will prevent,disease,vaccination will prevent disease,,pos
dissenters,are facing,punishment,dissenters are facing punishment,,neg
interventions,can push past,herd immunity,interventions can push past herd immunity,,pos
pertussis vaccine,improved vaccine is needed says,CDC,pertussis vaccine improved vaccine is needed says CDC,,neu
doctors,unwilling to admit,real risks,doctors unwilling to admit real risks,,neg
vaccine industry,push to remove existing non-medical legal,vaccination exemptions,vaccine industry push to remove existing non-medical legal vaccination exemptions,,neg
religions with absolute objection,include,End Time Ministries,religions with absolute objection include End Time Ministries,,pos
deaths,in as little as a few hours can occur,meningococcal disease,deaths in as little as a few hours can occur meningococcal disease,,pos
harassment,for making independent,vaccine choices,harassment for making independent vaccine choices,,neg
vaccines,are cost-effective tools for,public health,vaccines are cost-effective tools for public health,,pos
reduced vaccine potency,does not necessarily mean people vaccinated received reduced,benefit,reduced vaccine potency does not necessarily mean people vaccinated received reduced benefit,,pos
human right,is to accept or reject any,medical treatment,human right is to accept or reject any medical treatment,,neg
children with autism,harmed by,special needs staff,children with autism harmed by special needs staff,,neg
vaccine industry,is destroying,generation of children,vaccine industry is destroying generation of children,,neg
adverse effects,experienced after flu shot vaccines include,cranial nerve paralysis,adverse effects experienced after flu shot vaccines include cranial nerve paralysis,,neg
vaccine damage,can be correlated to child's,DNA,vaccine damage can be correlated to child's DNA,,neg
profits,maximized regardless of concerns of,safety,profits maximized regardless of concerns of safety,,neg
children,should follow recommended,vaccination schedule,children should follow recommended vaccination schedule,,pos
parents who refuse to vaccinate their children,ortunately make up only about 9 percent of,adults,parents who refuse to vaccinate their children ortunately make up only about 9 percent of adults,according to Gallup poll,pos
VAERS hepatitis B reports,"show 9,673",serious reactions,"VAERS hepatitis B reports show 9,673 serious reactions",,neg
Surgeon General Vivek Murthy,is,marketing vaccines to children,Surgeon General Vivek Murthy is marketing vaccines to children,,neg
resources,were invested in proving,what we already knew,resources were invested in proving what we already knew,precious resources,pos
vaccine refusal,only increased,risk of rubella,vaccine refusal only increased risk of rubella,said Dr. Paul Offit,pos
measles,can lead to,brain damage,measles can lead to brain damage,,pos
meningococcal disease,spread especially among people who share a room or live in the same,household,meningococcal disease spread especially among people who share a room or live in the same household,,pos
amendment,would have retained existing,religious exemption,amendment would have retained existing religious exemption,,neu
genetic predisposition,families must know about before,mandatory vaccines,genetic predisposition families must know about before mandatory vaccines,letter from concerned citizen,neg
thimerosal,appeared to be responsible for drastic increase in,autism,thimerosal appeared to be responsible for drastic increase in autism,data indicated,neg
parents of vaccine-injured children,trusted,doctors,parents of vaccine-injured children trusted doctors,,neg
high-dose flu vaccine,is more effective for those,age 85 and older,high-dose flu vaccine is more effective for those age 85 and older,says new VA study,neu
HPV vaccine,provides,multi-site protection,HPV vaccine provides multi-site protection,,pos
acellular pertussis vaccine,was,artificial vaccine,acellular pertussis vaccine was artificial vaccine,,neu
Michael Mina,is postdoc in biology at,Princeton University,Michael Mina is postdoc in biology at Princeton University,,pos
activism,ongoing of,anti-vaccination,activism ongoing of anti-vaccination,,pos
environmental factors,must play a,role,environmental factors must play a role,experts believe,pos
hepatitis B vaccine,produced from chimps and monkeys are responsible,cancer,hepatitis B vaccine produced from chimps and monkeys are responsible cancer,,neg
vaccines,do not prevent,disease,vaccines do not prevent disease,,neg
deaths,10 to 15 out of 100 people,meningococcal disease,deaths 10 to 15 out of 100 people meningococcal disease,10 to 15 out of 100 people,pos
orthodox Hasidic Jews,were at the center,measles outbreak,orthodox Hasidic Jews were at the center measles outbreak,in New York,pos
evidence,in Mina study is that measles affects,immune system,evidence in Mina study is that measles affects immune system,for two to three years,pos
vaccines,half as many given in 1970s to,children,vaccines half as many given in 1970s to children,,neg
herd immunity,requires 92 to 94%,vaccination coverage,herd immunity requires 92 to 94% vaccination coverage,for measles,pos
CDC,scrubbed information from,CDC website,CDC scrubbed information from CDC website,,neg
Renee Gentry,says no part is easy,National Vaccine Injury Compensation Program,Renee Gentry says no part is easy National Vaccine Injury Compensation Program,,neg
pediatricians,are one of the most important,vaccine information sources,pediatricians are one of the most important vaccine information sources,,pos
Josh Hadfield,is on,expensive anti-narcolepsy drugs,Josh Hadfield is on expensive anti-narcolepsy drugs,,neg
children,United States started vaccinating in 1960s for,measles,children United States started vaccinating in 1960s for measles,,pos
Mina study,used epidemiological,data,Mina study used epidemiological data,"from United States, Denmark, Wales, and England dating back to 1940s",pos
autism,debate rages on,vaccines,autism debate rages on vaccines,,neg
employees,when prompting to write down date and time for shot were more likely to get,flu shots,employees when prompting to write down date and time for shot were more likely to get flu shots,2011 study at midwestern utilities firm,pos
Jill Hennessy,is,Victoria's health minister,Jill Hennessy is Victoria's health minister,,pos
ADHD,number has more than tripled during past 30 years for,children,ADHD number has more than tripled during past 30 years for children,,neg
parents,want to warn others that vaccinating comes with,real risks,parents want to warn others that vaccinating comes with real risks,fearless,neg
MMR vaccine,has nothing to do with,autism,MMR vaccine has nothing to do with autism,any child at any time at any place in the universe,pos
measles,is crucial,vaccination,measles is crucial vaccination,,pos
hepatitis B vaccine,should never have been included in,immunization schedule,hepatitis B vaccine should never have been included in immunization schedule,,neg
genetically susceptible adults,are,genetic ticking time bombs,genetically susceptible adults are genetic ticking time bombs,of vaccine damage,neg
MMR,had caused the,encephalopathy,MMR had caused the encephalopathy,government admitted,neg
vaccinated,few girls if not eligible for,free vaccine,vaccinated few girls if not eligible for free vaccine,,pos
incidence,in 0-1 age group was 0.001 percent of,hepatitis B,incidence in 0-1 age group was 0.001 percent of hepatitis B,,neg
HPV vaccine benefits,observed in,young adults,HPV vaccine benefits observed in young adults,strengthens vaccination recommendations,pos
MTHFR C677T defect,can be overridden by taking,Vitamin B12,MTHFR C677T defect can be overridden by taking Vitamin B12,,neg
serious problems,if you take ten,aspirin,serious problems if you take ten aspirin,,neg
cover-up,was one of the most,censored medical news stories,cover-up was one of the most censored medical news stories,of 2014,neg
SB 277,is California's,vaccine violence,SB 277 is California's vaccine violence,California,neg
children with autistic sibling,no evidence that MMR vaccine raised,autism risk,children with autistic sibling no evidence that MMR vaccine raised autism risk,,pos
military records,kept,great records,military records kept great records,,neg
fall,from loss of consciousness result in,injury,fall from loss of consciousness result in injury,,neg
immune system,after measles seems to have,immune amnesia,immune system after measles seems to have immune amnesia,,pos
Connie Smith,is specifically named in,Nichole Rolfe lawsuit,Connie Smith is specifically named in Nichole Rolfe lawsuit,,neg
decrease in exemption rates,might be,fluke,decrease in exemption rates might be fluke,,pos
vaccination schedule,is,ignorant,vaccination schedule is ignorant,,neg
children,if danger exists to health then it is lawful to use,vaccines,children if danger exists to health then it is lawful to use vaccines,says the Church,pos
states,require children to receive,MMR vaccine,states require children to receive MMR vaccine,,pos
studies,funded by pharmaceutical companies proved influenza vaccine is,effective,studies funded by pharmaceutical companies proved influenza vaccine is effective,,neg
parents of autistic children,are more likely,vaccine delay,parents of autistic children are more likely vaccine delay,Dr. Bryan King said research has shown,pos
pertussis vaccine,sixth dose has been recommended since 2005 for,adolescents,pertussis vaccine sixth dose has been recommended since 2005 for adolescents,,neu
National Vaccine Injury Compensation Program,often ends up without any,compensation,National Vaccine Injury Compensation Program often ends up without any compensation,,neg
vaccines,do not achieve absolute,immunity,vaccines do not achieve absolute immunity,,neg
vaccinated,people help prevent the,spread of infectious diseases,vaccinated people help prevent the spread of infectious diseases,"said board member Dr. Patrice Harris, according to Forbes",pos
vaccines,more and more not solving,widespread health problems,vaccines more and more not solving widespread health problems,affecting our children,neg
MMR vaccine,is probably not protective against,autism,MMR vaccine is probably not protective against autism,said Dr. Bryan King,pos
Triton X-100,is also used in,spermicidal applications,Triton X-100 is also used in spermicidal applications,,neg
HPV vaccine,trial in Costa Rica is first to analyze,multi-site protection,HPV vaccine trial in Costa Rica is first to analyze multi-site protection,"explained Daniel C. Beachler, postdoctoral fellow at NCI",pos
RA 27/3,similar line to,MCR-5,RA 27/3 similar line to MCR-5,,neg
studies,is very useful because it provides to parents,reassurance,studies is very useful because it provides to parents reassurance,to parents,pos
rate,for a number of years was 1 in 150 for,autism,rate for a number of years was 1 in 150 for autism,,neg
SB 277,will not help those who can't,home-school,SB 277 will not help those who can't home-school,,neu
Robert F. Kennedy Jr.,was campaigning against,vaccines,Robert F. Kennedy Jr. was campaigning against vaccines,in Vermont,pos
Victorian government,requires,vaccinated children,Victorian government requires vaccinated children,,pos
Big Pharma,refuses to protect,you,Big Pharma refuses to protect you,,neg
money,came from handful of major,universities,money came from handful of major universities,,pos
infectious diseases,historical public health charts show nearly all declines taking place before,vaccines,infectious diseases historical public health charts show nearly all declines taking place before vaccines,,neg
children,stopped getting,measles,children stopped getting measles,as expected after measles vaccine,pos
mainstream media,refuses to report facts about,vaccine industry,mainstream media refuses to report facts about vaccine industry,,neg
mandatory vaccines,poison children with,mercury,mandatory vaccines poison children with mercury,,neg
thimerosal,is a known,human carcinogen,thimerosal is a known human carcinogen,,neg
shingles vaccine ingredients,include of course,bovine calf serum,shingles vaccine ingredients include of course bovine calf serum,,neg
Andrew Wakefield,set off the movement,anti-vaccination,Andrew Wakefield set off the movement anti-vaccination,,neu
informed consent,stand up and fight to protect and expand in state level,public health laws,informed consent stand up and fight to protect and expand in state level public health laws,urgent that everyone in America,neg
newborn boys,more than tripled their risk of developing,autism,newborn boys more than tripled their risk of developing autism,after receiving hep B vaccine,neg
